아이디,등장인물,페이지,상황,대사,키워드
u501a,우르술라,5-1,우르술라는 아리엘의 고통을 즐기며. 그녀를 조종하려는 음모를 드러냅니다.,아리엘. 고통스럽지?,
a502a,아리엘,5-2,우르술라는 아리엘의 고통을 즐기며. 그녀를 조종하려는 음모를 드러냅니다.,우르술라. 왜 여기 있어?,우르술라
u503a,우르술라,5-3,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,너의 고통을 즐기고 있어.,
a504a,아리엘,5-4,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,나를 조종하려는 거야?,조종
u505a,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,이제 너는 내 꼭두각시야.,
u505b,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,하하하. 이제 너는 나의 꼭두각시야!,
u505c,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,아리엘. 조종이라고 생각하지 마. 모든 것은 네가 원했던 것. 인간이 되기 위해서였잖아. 하지만 네가 원한다면. 언제든지 다시 돌아올 수 있어. 너의 선택이니까. 어떻게 할래. 아리엘? 너의 목소리와 함께 인간 세계에서의 삶을 계속할래. 아니면 다시 인어로 돌아올래?,
a506a,아리엘,5-6,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,더 이상 너의 조종을 받지 않을 거야.,조종
a506b,아리엘,5-6,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,더 이상 너의 꼭두각시 노릇을 하지 않겠어,꼭두각시
u507b,우르술라,5-7,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,네가 나를 이길 수 있을까?,
a508a,아리엘,5-8,아리엘은 자신의 힘으로 우르술라와 맞서 싸우기로 결심하고. 용기를 내어 그녀에게 도전합니다.,내 힘으로 싸울거야,싸움
a508b,아리엘,5-8,아리엘은 자신의 힘으로 우르술라와 맞서 싸우기로 결심하고. 용기를 내어 그녀에게 도전합니다.,너와 싸우겠어,싸움
u509a,우르술라,5-9,우르술라는 아리엘의 결심에 놀라며. 그녀와의 대결을 준비합니다.,흥미롭군. 도전해봐,
a510a,아리엘,5-10,우르술라는 아리엘의 결심에 놀라며. 그녀와의 대결을 준비합니다.,용기를 내서 맞서 싸울 거야,용기
