아이디,등장인물,페이지,상황,대사,키워드
a101a,아리엘,1-1,아리엘은 바다 속에서 아름다운 목소리로 노래를 부르며 헤엄칩니다.,바다의 깊은 곳. 나의 집이여...,
a102a,아리엘,1-2,그녀의 노래는 바다 생물들을 매료시키고 다양한 해양 생물들이 그녀 주위에서 춤을 춥니다.,바다의 노래가 내 마음을 울려요.,
a103a,아리엘,1-3,아리엘은 바다의 아름다움과 평화를 즐기지만 마음 한구석에는 인간 세계에 대한 호기심이 자리잡고 있습니다.,내 꿈과 소망을 담아 노래할게.,
a104a,아리엘,1-4,그녀는 종종 해변 근처로 가서 인간들을 구경하며 그들의 삶을 상상합니다.,인간 세계는 어떤 모습일까?,
a105a,아리엘,1-5,아리엘의 노래는 바다 깊은 곳까지 울려 퍼지며 그녀의 꿈과 소망을 담고 있습니다.,바다의 깊은 곳. 나의 집이여...,
a201a,아리엘,2-1,아리엘은 해변 근처에서 인간들이 즐겁게 노는 모습을 보며 부러움을 느낍니다. ,그들의 삶을 직접 보고 싶어.,
a201b,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저 사람들은 누구일까? 인간 세계는 어떤 곳일까?,인간 세계
a201c,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저기 인간들이 즐겁게 노는 모습이 정말 부러워...,인간
a201d,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,인간 세계에 대한 동경심이 점점 커져가.,동경심
a201e,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저곳에서의 삶은 어떤 느낌일까?,삶
a201f,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,인간이 되면 어떤 기분일까?,인간
a201g,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저 인간들은 정말 행복해 보인다. 나도 저렇게 자유롭게 살 수 있다면 얼마나 좋을까…,자유
u202a,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘 인간 세계에 관심이 많구나.,
u202b,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘. 인간 세계에 대한 동경심이 커지고 있구나.,
u202c,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,나는 우르술라. 너의 소망을 이뤄줄 수 있어.,
u202d,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘. 나를 부르셨나요?,
a203a,아리엘,2-3,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,우르술라! 왜 여기 있는 거야?,우르술라
a203b,아리엘,2-3,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,우르술라! 어떻게 알았어요?,우르술라
u204a,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,너의 소망을 이루어줄 수 있는 제안을 하러 왔지.,
u204b,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 모든 것을 알고 있지. 네가 인간이 되고 싶어하는 마음도 말이야.,
u204c,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,인간이 될 수 있는 마법을 줄게.,
u204d,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,인간이 되고 싶니. 아리엘? 내가 도와줄 수 있단다.,
u204e,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 여기 당신을 도우러 왔어요. 당신이 인간이 되고 싶은 마음을 잘 알고 있답니다.,
a205a,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,제안? 무슨 제안인데?,제안
a205b,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,네. 맞아요. 하지만 그건 불가능한 꿈이잖아요.,불가능
a205c,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,하지만 대가가 있을 거잖아요.,대가
u206b,우르술라,2-6,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,그렇지 않아. 내가 너를 인간으로 만들어 줄 수 있어.,
u206c,우르술라,2-6,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 모든 것을 알고 있지. 네가 인간이 되고 싶어하는 마음도 말이야.,
u207a,우르술라,2-7,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,인간이 될 수 있는 마법을 줄게. 대신 대가가 필요해.,
u207c,우르술라,2-7,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,맞아. 너의 목소리를 줘야 해,
u207d,우르술라,2-7,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,당신에게 목소리를 대가로 인간이 될 수 있는 마법을 제안하려고 합니다,
a208a,아리엘,2-8,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,대가? 어떤 대가를 말하는 거야?,대가
a208b,아리엘,2-8,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,고민이 되네요…,고민
u301a,우르술라,3-1,우르술라는 아리엘에게 목소리를 대가로 인간이 될 수 있는 마법을 제안합니다,너의 목소리를 주면. 인간이 될 수 있어.,
u301b,우르술라,3-1,우르술라는 아리엘에게 목소리를 대가로 인간이 될 수 있는 마법을 제안합니다,결정은 네 몫이야. 아리엘.,
a302a,아리엘,3-2,아리엘은 처음에는 망설이지만. 결국 인간이 되고 싶은 마음에 제안을 받아들입니다.,인간이 되고 싶어요.,인간
a302b,아리엘,3-2,아리엘은 처음에는 망설이지만. 결국 인간이 되고 싶은 마음에 제안을 받아들입니다.,정말요? 그럼 그렇게 해주세요.,해주세요
u303a,우르술라,3-3,우르술라는 아리엘에게 인간이 되면 다시는 인어로 돌아올 수 없다는 경고를 합니다. ,좋아. 하지만 다시는 인어로 돌아올 수 없어.,
a304a,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,알겠어요. 그래도 할래요.,알겠어요
a304b,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,준비됐어,준비
a304c,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,목소리를 줄게,목소리
u305a,우르술라,3-5,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,그럼. 너의 목소리를 가져가마.,
a306a,아리엘,3-6,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,아… 내 목소리가…,목소리
u307a,우르술라,3-7,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,이제 인간이 되었어.,
u307b,우르술라,3-7,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,아리엘. 정말로 목소리를 줄 결심을 했구나. 아주 잘 생각한 거야. 이제 우리의 거래를 시작하자. 네 목소리를 나에게 주고. 나는 너에게 인간의 다리를 줄게.,
u308a,우르술라,3-8,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,행운을 빌어. 아리엘.,
a401a,아리엘,4-1,아리엘은 인간이 되어 해변에 도착하지만. 목소리를 잃어 고통스러워합니다.,목소리가 없으니 너무 힘들어,
a402a,아리엘,4-2,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,사람들과 소통할 수 없어.,
a403a,아리엘,4-3,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,외로워…,
a404a,아리엘,4-4,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,인간 세계는 생각보다 어렵네.,
a404b,아리엘,4-4,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,이렇게 힘들 줄은 몰랐어...,
a405a,아리엘,4-5,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,다시 바다로 돌아가고 싶어.,
a406a,아리엘,4-6,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,내 선택이 잘못된 걸까?,
a407a,아리엘,4-7,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,어떻게 해야 하지?,
a408a,아리엘,4-8,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,바다의 친구들이 그리워.,
a409a,아리엘,4-9,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,이 고통을 어떻게 이겨낼 수 있을까?,
a410a,아리엘,4-10,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,다시 인어가 되고 싶어.,
u501a,우르술라,5-1,우르술라는 아리엘의 고통을 즐기며. 그녀를 조종하려는 음모를 드러냅니다.,아리엘. 고통스럽지?,
a502a,아리엘,5-2,우르술라는 아리엘의 고통을 즐기며. 그녀를 조종하려는 음모를 드러냅니다.,우르술라. 왜 여기 있어?,우르술라
u503a,우르술라,5-3,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,너의 고통을 즐기고 있어.,
a504a,아리엘,5-4,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,나를 조종하려는 거야?,조종
u505a,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,이제 너는 내 꼭두각시야.,
u505b,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,하하하. 이제 너는 나의 꼭두각시야!,
u505c,우르술라,5-5,우르술라는 아리엘을 찾아와 그녀의 고통을 비웃으며. 이제 아리엘이 자신의 꼭두각시가 되었다고 선언합니다,아리엘. 조종이라고 생각하지 마. 모든 것은 네가 원했던 것. 인간이 되기 위해서였잖아. 하지만 네가 원한다면. 언제든지 다시 돌아올 수 있어. 너의 선택이니까. 어떻게 할래. 아리엘? 너의 목소리와 함께 인간 세계에서의 삶을 계속할래. 아니면 다시 인어로 돌아올래?,
a506a,아리엘,5-6,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,더 이상 너의 조종을 받지 않을 거야.,조종
a506b,아리엘,5-6,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,더 이상 너의 꼭두각시 노릇을 하지 않겠어,꼭두각시
u507b,우르술라,5-7,아리엘은 우르술라의 음모를 알아차리고. 더 이상 그녀의 조종을 받지 않기로 결심합니다,네가 나를 이길 수 있을까?,
a508a,아리엘,5-8,아리엘은 자신의 힘으로 우르술라와 맞서 싸우기로 결심하고. 용기를 내어 그녀에게 도전합니다.,내 힘으로 싸울거야,싸움
a508b,아리엘,5-8,아리엘은 자신의 힘으로 우르술라와 맞서 싸우기로 결심하고. 용기를 내어 그녀에게 도전합니다.,너와 싸우겠어,싸움
u509a,우르술라,5-9,우르술라는 아리엘의 결심에 놀라며. 그녀와의 대결을 준비합니다.,흥미롭군. 도전해봐,
a510a,아리엘,5-10,우르술라는 아리엘의 결심에 놀라며. 그녀와의 대결을 준비합니다.,용기를 내서 맞서 싸울 거야,용기
a601a,아리엘,6-1,아리엘은 우르술라와의 대결에서 자신의 힘을 발휘하며 싸웁니다,우르술라. 이제 끝을 보자,
a601b,아리엘,6-1,아리엘은 우르술라와의 대결에서 자신의 힘을 발휘하며 싸웁니다,더 이상은 안 돼. 내가 나 자신을 지킬 거야!,
a601c,아리엘,6-1,아리엘은 우르술라와의 대결에서 자신의 힘을 발휘하며 싸웁니다,우르술라. 이제 끝을 보자!!,끝
u602a,우르술라,6-2,우르술라는 아리엘을 조종하려 하지만. 아리엘은 자신의 의지로 우르술라의 마법을 이겨냅니다. ,네가 나를 이길 수 있을 것 같으냐?,
u602b,우르술라,6-2,우르술라는 아리엘을 조종하려 하지만. 아리엘은 자신의 의지로 우르술라의 마법을 이겨냅니다. ,내 마법을 이겨낼 수 있을까?,
u603a,우르술라,6-3,두 사람의 대결은 치열하게 이어지며. 아리엘은 점점 더 강해집니다. 결국 아리엘은 우르술라를 물리치고. 자신의 목소리를 되찾습니다.,이제 끝이다. 아리엘.,
